pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
num_0631,Volume 2,130,,501,Pen,501-525,,,<a href='/digital-beehive/toc/toc2_346/'>1801 [Penn]</a>,,<a href='/digital-beehive/index4/index_2972/'>pen[n]</a>,#item-c5c45a09f,,Entry: 501|Topic: Pen|Xref: 1801 [Penn]|Index: pen[n]|#item-c5c45a09f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0597/880,3839,2912,1187/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0597/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1576691143079,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0597/880,3839,600,180/250,/0/default.jpg",501. Pen,<a href='/digital-beehive/toc/toc2_120/'>Full Page</a>,,
num_0632,Volume 2,131,,502,Resurrection,501-525,,,<a href='/digital-beehive/num4/num_1266/'>949 [Resurrection]</a>,,[NOT_IN_INDEX],#item-abb39d343,,Entry: 502|Topic: Resurrection|Xref: 949 [Resurrection]|Index: [NOT_IN_INDEX]|#item-abb39d343,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/330,257,2962,730/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575409630902,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/330,257,600,180/250,/0/default.jpg",502. Resurrection,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,
num_0633,Volume 2,131,,503,Perseverance,501-525,,,<a href='/digital-beehive/toc/toc2_242/'>1241 [Perseverance]</a>,,<a href='/digital-beehive/index4/index_2942/'>perseverance</a>,#item-7363e6635,,Entry: 503|Topic: Perseverance|Xref: 1241 [Perseverance]|Index: perseverance|#item-7363e6635,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/343,890,2983,778/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575571250059,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/343,890,600,180/250,/0/default.jpg",503. Perseverance,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,
num_0634,Volume 2,131,,504,Revenge,501-525,,,<a href='/digital-beehive/toc/toc2_250/'>1282 [Revenge]</a>,,<a href='/digital-beehive/index4/index_3401/'>revenge</a>|<a href='/digital-beehive/index5/index_4316/'>vengeange</a>,#item-51a365c9e,,Entry: 504|Topic: Revenge|Xref: 1282 [Revenge]|Index: revenge|Index: vengeange|#item-51a365c9e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/325,1600,2987,852/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575571612972,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/325,1600,600,180/250,/0/default.jpg",504. Revenge,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,
num_0635,Volume 2,131,,505,Sect,501-525,,,<a href='/digital-beehive/toc/toc2_268/'>1373 [Sects]</a>,,<a href='/digital-beehive/index4/index_3525/'>schism</a>|<a href='/digital-beehive/index4/index_3559/'>sect</a>,#item-2bfce152a,,Entry: 505|Topic: Sect|Xref: 1373 [Sects]|Index: schism|Index: sect|#item-2bfce152a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/363,2343,2947,941/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575571678941,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/363,2343,600,180/250,/0/default.jpg",505. Sect,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,"The point of reference for ""schismatical"" is unclear.",
num_0636,Volume 2,131,,506,Gift,501-525,,,<a href='/digital-beehive/toc/toc2_279/'>1430 [Gift]</a>,,<a href='/digital-beehive/index2/index_1664/'>gift</a>|<a href='/digital-beehive/index4/index_2750/'>offerings</a>,#item-b820c2544,,Entry: 506|Topic: Gift|Xref: 1430 [Gift]|Index: gift|Index: offerings|#item-b820c2544,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/362,3181,2919,337/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572327130,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/362,3181,600,180/250,/0/default.jpg",506. Gift,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,<a href='/digital-beehive/num3/num_0637/'>To grant</a>
num_0637,Volume 2,131,,506,To grant,501-525,,,<a href='/digital-beehive/alpha1/alpha_0086/'>Blessing</a>,,[NOT_IN_INDEX],#item-0bc55be9f,,Entry: 506|Topic: To grant|Xref: Blessing|Index: [NOT_IN_INDEX]|#item-0bc55be9f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/368,3440,2953,615/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572398280,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/368,3440,600,180/250,/0/default.jpg",506. To grant,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,<a href='/digital-beehive/num3/num_0636/'>Gift</a>
num_0638,Volume 2,131,,507,Death passed upon all men,501-525,,,<a href='/digital-beehive/toc/toc2_227/'>1166 [Death]</a>,,<a href='/digital-beehive/index1/index_0948/'>death</a>,#item-4abefe35f,,Entry: 507|Topic: Death passed upon all men|Xref: 1166 [Death]|Index: death|#item-4abefe35f,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/370,3969,2947,1005/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572543243,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0598/370,3969,600,180/250,/0/default.jpg",507. Death passed upon all men,<a href='/digital-beehive/toc/toc2_121/'>Full Page</a>,,
num_0639,Volume 2,132,,508,Discontentmt,501-525,,,<a href='/digital-beehive/toc/toc2_359/'>1952 [Discontentmt]</a>,,<a href='/digital-beehive/index1/index_1063/'>discontentmt</a>,#item-9153537f9,,Entry: 508|Topic: Discontentmt|Xref: 1952 [Discontentmt]|Index: discontentmt|#item-9153537f9,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/929,229,2839,751/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572717176,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/929,229,600,180/250,/0/default.jpg",508. Discontentmt,<a href='/digital-beehive/toc/toc2_122/'>Full Page</a>,,
num_0640,Volume 2,132,,509,Patience,501-525,,,<a href='/digital-beehive/toc/toc2_280/'>1433 [Patience]</a>,,<a href='/digital-beehive/index4/index_2885/'>patience</a>,#item-8639c43c9,,Entry: 509|Topic: Patience|Xref: 1433 [Patience]|Index: patience|#item-8639c43c9,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/854,838,2902,819/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572806705,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/854,838,600,180/250,/0/default.jpg",509. Patience,<a href='/digital-beehive/toc/toc2_122/'>Full Page</a>,,
num_0641,Volume 2,132,,510,Concern,501-525,,,,,<a href='/digital-beehive/index1/index_0806/'>concern</a>|<a href='/digital-beehive/index5/index_4484/'>weighty</a>,#item-e2bd7edf6,,Entry: 510|Topic: Concern|Index: concern|Index: weighty|#item-e2bd7edf6,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/944,1518,2829,473/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572872773,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/944,1518,600,180/250,/0/default.jpg",510. Concern,<a href='/digital-beehive/toc/toc2_122/'>Full Page</a>,,<a href='/digital-beehive/num3/num_0642/'>So trivial a thing</a>
num_0642,Volume 2,132,,510,So trivial a thing,501-525,,,<a href='/digital-beehive/num1/num_0239/'>224 [Considerable]</a>,,<a href='/digital-beehive/index3/index_2669/'>no matter</a>|<a href='/digital-beehive/index5/index_4221/'>trivial</a>|<a href='/digital-beehive/index5/index_4484/'>weighty</a>,#item-1a3b0a687,,Entry: 510|Topic: So trivial a thing|Xref: 224 [Considerable]|Index: no matter|Index: trivial|Index: weighty|#item-1a3b0a687,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/935,1923,2803,244/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575572988642,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/935,1923,600,180/250,/0/default.jpg",510. So trivial a thing,<a href='/digital-beehive/toc/toc2_122/'>Full Page</a>,,<a href='/digital-beehive/num3/num_0641/'>Concern</a>
num_0643,Volume 2,132,,511,First day of the Week,501-525,,,<a href='/digital-beehive/alpha4/alpha_0932/'>Sunday</a>|<a href='/digital-beehive/alpha4/alpha_0824/'>Sabbath</a>,,<a href='/digital-beehive/index1/index_0924/'>first day</a>|<a href='/digital-beehive/index1/index_0924/'>first day</a>|<a href='/digital-beehive/index4/index_3980/'>sunday</a>,#item-0de12d895,,Entry: 511|Topic: First day of the Week|Xref: Sunday|Xref: Sabbath|Index: first day|Index: first day|Index: sunday|#item-0de12d895,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/858,2219,2936,935/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1575573105407,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0599/858,2219,600,180/250,/0/default.jpg",511. First day of the Week,<a href='/digital-beehive/toc/toc2_122/'>Full Page</a>,"This entry appears under two identical entries of the Octavo Index: ""first day"" in image 3.15, and ""first day"" in image 3.20.",
